;id;word;count
1216;1216;Chegou;74
1217;1217;Tenho;106
1218;1218;p/;44
1219;1219;alimentar;38
1220;1220;plástico?;1
1221;1221;resíduo;2
1222;1222;nessa;254
1223;1223;logística;43
1224;1224;#unboxing;1
1225;1225;#plastico;1
1226;1226;#sustentabilidadezero;1
1227;1227;#ESG;1
1228;1228;#logística;2
1229;1229;https://t.co/GgR84lPBVv;1
1230;1230;amigavelmente;1
1231;1231;registra;2
1232;1232;reclamação;156
1233;1233;@ReclameAQUI;131
1234;1234;Pior;50
1235;1235;olhar;38
1236;1236;VÁRIAS;4
1237;1237;RECLAMAÇÕES;1
1238;1238;DE;307
1239;1239;ATRASO!;1
1240;1240;funciona,;14
1241;1241;telefone;190
1242;1242;chat...;1
1243;1243;https://t.co/mqD4ZIEfQx;1
1244;1244;@GizelleMartins6;1
1245;1245;Queria;63
1246;1246;explicação;28
1247;1247;tantos;11
1248;1248;informes;1
1249;1249;cancelada.;10
1250;1250;plena;5
1251;1251;certeza;75
1252;1252;prazo;580
1253;1253;novamente!;3
1254;1254;coleta;10
1255;1255;cancelado.;14
1256;1256;?;315
1257;1257;Dá;64
1258;1258;chamada;16
